Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2020-10-26,34.56,45.67,55.01,57.37,56.1,38.89,40.46,40.89,14.865,3.253
2020-10-27,34.56,45.67,55.01,57.37,56.1,39.87,41.2,40.98,14.745,3.311
2020-10-28,34.56,45.67,55.01,57.37,56.1,37.72,39.12,40.75,14.485,3.291
2020-10-29,34.56,45.67,55.01,57.37,56.1,36.51,37.65,40.68,14.215,3.417
2020-10-30,35.11,46.43,55.61,59.71,56.48,36.15,37.46,40.66,14.06,3.469
2020-11-02,35.11,46.43,55.61,59.71,56.48,37.18,38.97,38.36,13.655,3.375
2020-11-03,35.11,46.43,55.61,59.71,56.48,37.99,39.71,39.16,13.665,3.195
2020-11-04,35.11,46.43,55.61,59.71,56.48,39.47,41.23,40.55,13.885,3.177
2020-11-05,35.11,46.43,55.61,59.71,56.48,39.11,40.93,40.14,14.455,3.084
2020-11-06,36.13,47.56,56.76,61.35,57.65,37.49,39.45,39.28,13.9,3.031
2020-11-09,36.13,47.56,56.76,61.35,57.65,40.62,42.4,41.4,13.855,2.999
2020-11-10,36.13,47.56,56.76,61.35,57.65,41.67,43.61,42.19,14.035,3.073
2020-11-11,36.13,47.56,56.76,61.35,57.65,41.74,43.8,42.36,14.095,3.151
2020-11-12,36.13,47.56,56.76,61.35,57.65,41.41,43.53,42.37,14.0,3.094
2020-11-13,38.86,50.86,60.87,67.13,59.33,40.4,42.78,41.87,14.24,3.122
2020-11-16,38.86,50.86,60.87,67.13,59.33,41.57,43.82,42.52,14.495,2.864
2020-11-17,38.86,50.86,60.87,67.13,59.33,41.65,43.75,42.49,13.97,2.844
2020-11-18,38.86,50.86,60.87,67.13,59.33,42.01,44.34,42.69,13.68,2.838
2020-11-19,38.86,50.86,60.87,67.13,59.33,41.9,44.2,42.6,13.02,2.72
2020-11-20,40.1,51.78,62.43,69.79,60.38,42.42,44.96,42.84,12.895,2.77
2020-11-23,40.1,51.78,62.43,69.79,60.38,43.28,46.06,43.08,13.535,2.823
2020-11-24,40.1,51.78,62.43,69.79,60.38,45.11,47.86,43.4,13.9,2.9
2020-11-25,40.1,51.78,62.43,69.79,60.38,45.91,48.61,43.52,13.93,2.961
2020-11-26,40.1,51.78,62.43,69.79,60.38,44.98,47.8,43.52,13.93,2.93
2020-11-27,43.19,55.76,68.39,77.72,66.19,45.74,48.18,43.44,14.485,2.832
2020-11-30,43.19,55.76,68.39,77.72,66.19,45.51,47.59,43.39,15.14,2.865
2020-12-01,43.19,55.76,68.39,77.72,66.19,44.73,47.42,46.96,14.91,2.868
2020-12-02,43.19,55.76,68.39,77.72,66.19,45.44,48.25,47.67,14.905,2.778
2020-12-03,43.19,55.76,68.39,77.72,66.19,45.79,48.71,48.04,14.145,2.515
2020-12-04,44.27,59.58,74.18,81.9,71.19,46.42,49.25,48.35,14.645,2.586
2020-12-07,44.27,59.58,74.18,81.9,71.19,45.95,48.79,48.23,14.355,2.433
2020-12-08,44.27,59.58,74.18,81.9,71.19,45.8,48.84,48.28,14.445,2.422
2020-12-09,44.27,59.58,74.18,81.9,71.19,45.72,48.86,48.42,14.735,2.456
2020-12-10,44.27,59.58,74.18,81.9,71.19,46.96,50.25,49.29,15.54,2.57
2020-12-11,44.95,59.94,74.55,84.49,69.44,46.75,49.97,49.22,15.96,2.603
2020-12-14,44.95,59.94,74.55,84.49,69.44,47.15,50.29,49.46,16.605,2.678
2020-12-15,44.95,59.94,74.55,84.49,69.44,47.78,50.76,49.81,17.225,2.68
2020-12-16,44.95,59.94,74.55,84.49,69.44,48.0,51.08,49.96,16.38,2.681
2020-12-17,44.95,59.94,74.55,84.49,69.44,48.54,51.5,50.08,15.94,2.637
2020-12-18,50.37,66.25,82.07,97.92,74.89,49.24,52.26,50.34,15.885,2.681
2020-12-21,50.37,66.25,82.07,97.92,74.89,47.97,50.91,49.86,16.795,2.689
2020-12-22,50.37,66.25,82.07,97.92,74.89,47.16,50.08,49.57,17.635,2.749
2020-12-23,50.37,66.25,82.07,97.92,74.89,48.24,51.2,49.81,17.505,2.588
2020-12-24,48.79,65.58,81.31,97.4,75.83,48.35,51.29,49.84,17.65,2.512
2020-12-28,48.79,65.58,81.31,97.4,75.83,47.77,50.86,49.77,19.15,2.326
2020-12-29,48.79,65.58,81.31,97.4,75.83,48.14,51.09,49.78,18.775,2.444
2020-12-30,48.79,65.58,81.31,97.4,75.83,48.5,51.34,49.82,19.0,2.422
2020-12-31,47.03,62.38,76.92,91.34,73.43,48.63,51.8,49.81,19.125,2.526
2021-01-04,47.03,62.38,76.92,91.34,73.43,47.76,51.09,50.61,19.845,2.561
2021-01-05,47.03,62.38,76.92,91.34,73.43,50.01,53.6,52.84,18.005,2.673
2021-01-06,47.03,62.38,76.92,91.34,73.43,50.69,54.3,53.63,17.565,2.684
2021-01-07,47.03,62.38,76.92,91.34,73.43,50.87,54.38,53.78,19.305,2.691
2021-01-08,46.09,62.53,76.28,87.88,69.63,52.26,55.99,55.06,20.12,2.656
2021-01-11,46.09,62.53,76.28,87.88,69.63,52.27,55.66,54.78,22.125,2.703
2021-01-12,46.09,62.53,76.28,87.88,69.63,53.24,56.58,55.37,26.155,2.707
2021-01-13,46.09,62.53,76.28,87.88,69.63,52.96,56.06,54.96,21.5,2.689
2021-01-14,46.09,62.53,76.28,87.88,69.63,53.62,56.42,55.17,21.335,2.63
2021-01-15,49.78,67.84,81.81,95.54,72.55,52.42,55.1,54.53,20.2,2.696
2021-01-18,49.78,67.84,81.81,95.54,72.55,52.36,54.75,54.53,20.2,2.637
2021-01-19,49.78,67.84,81.81,95.54,72.55,52.98,55.9,54.89,20.325,2.529
2021-01-20,49.78,67.84,81.81,95.54,72.55,53.31,56.08,54.97,20.26,2.533
2021-01-21,49.78,67.84,81.81,95.54,72.55,53.05,56.1,54.95,20.065,2.497
2021-01-22,45.25,62.04,76.72,89.97,72.96,52.19,55.41,54.76,21.485,2.456
2021-01-25,45.25,62.04,76.72,89.97,72.96,52.67,55.88,54.87,20.16,2.598
2021-01-26,45.25,62.04,76.72,89.97,72.96,52.52,55.91,54.82,19.51,2.636
2021-01-27,45.25,62.04,76.72,89.97,72.96,52.73,55.81,54.81,19.7,2.702
2021-01-28,45.25,62.04,76.72,89.97,72.96,52.24,55.53,54.76,20.91,2.675
2021-01-29,45.53,62.85,77.12,87.76,71.34,52.08,55.88,54.77,19.82,2.592
2021-02-01,45.53,62.85,77.12,87.76,71.34,53.42,56.35,55.66,18.14,2.821
2021-02-02,45.53,62.85,77.12,87.76,71.34,54.62,57.46,56.71,18.25,2.818
2021-02-03,45.53,62.85,77.12,87.76,71.34,55.54,58.46,57.69,17.855,2.772
2021-02-04,45.53,62.85,77.12,87.76,71.34,56.07,58.84,57.97,18.12,2.889
2021-02-05,43.02,60.88,74.72,83.95,70.01,56.7,59.34,58.4,18.38,2.841
2021-02-08,43.02,60.88,74.72,83.95,70.01,57.83,60.56,59.36,20.18,2.862
2021-02-09,43.02,60.88,74.72,83.95,70.01,58.25,61.09,59.63,19.045,2.823
2021-02-10,43.02,60.88,74.72,83.95,70.01,58.57,61.47,59.69,18.56,2.879
2021-02-11,43.02,60.88,74.72,83.95,70.01,58.14,61.14,59.56,17.375,2.836
2021-02-12,46.13,64.23,78.89,90.18,73.09,59.38,62.43,60.23,17.62,2.876
2021-02-15,46.13,64.23,78.89,90.18,73.09,60.09,63.3,60.23,17.62,3.067
2021-02-16,46.13,64.23,78.89,90.18,73.09,60.08,63.35,60.6,16.715,2.983
2021-02-17,46.13,64.23,78.89,90.18,73.09,61.16,64.34,60.89,16.54,3.032
2021-02-18,46.13,64.23,78.89,90.18,73.09,60.53,63.93,60.59,17.33,2.97
2021-02-19,45.36,62.33,76.59,89.3,79.0,59.26,62.91,60.2,16.555,2.991
2021-02-22,45.36,62.33,76.59,89.3,79.0,61.7,65.24,60.62,15.96,2.936
2021-02-23,45.36,62.33,76.59,89.3,79.0,61.43,65.37,60.63,16.25,2.857
2021-02-24,45.36,62.33,76.59,89.3,79.0,63.0,67.04,60.81,16.38,2.795
2021-02-25,45.36,62.33,76.59,89.3,79.0,63.22,66.88,60.84,15.935,2.809
2021-02-26,44.5,60.84,75.25,85.6,74.07,61.23,66.13,60.85,15.695,2.809
2021-03-01,44.5,60.84,75.25,85.6,74.07,60.42,63.69,62.28,16.08,2.818
2021-03-02,44.5,60.84,75.25,85.6,74.07,59.57,62.7,61.33,15.87,2.875
